#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.87478581E-02  2.77879059E-05
  3.00000000E-02  1.87307307E-02  2.34001236E-05
  6.00000000E-02  1.87029914E-02  2.34351946E-05
  9.00000000E-02  1.86597362E-02  2.28110250E-05
  1.20000000E-01  1.85950687E-02  2.20328787E-05
  1.50000000E-01  1.85243596E-02  2.17125209E-05
  1.80000000E-01  1.84412337E-02  2.17398068E-05
  2.10000000E-01  1.83446539E-02  2.14866196E-05
  2.40000000E-01  1.82303230E-02  2.10856342E-05
  2.70000000E-01  1.81038497E-02  2.04377521E-05
  3.00000000E-01  1.79767309E-02  2.02371380E-05
  3.30000000E-01  1.78169530E-02  2.00283612E-05
  3.60000000E-01  1.76523741E-02  1.95119790E-05
  3.90000000E-01  1.74775176E-02  1.94553533E-05
  4.20000000E-01  1.72890140E-02  1.87389038E-05
  4.50000000E-01  1.70841051E-02  1.84097097E-05
  4.80000000E-01  1.68690346E-02  1.82090885E-05
  5.10000000E-01  1.66471891E-02  1.77611318E-05
  5.40000000E-01  1.64086961E-02  1.72340886E-05
  5.70000000E-01  1.61639770E-02  1.69517264E-05
  6.00000000E-01  1.59052670E-02  1.67312101E-05
  6.30000000E-01  1.56373269E-02  1.63908497E-05
  6.60000000E-01  1.53593951E-02  1.58871684E-05
  6.90000000E-01  1.50713748E-02  1.57208122E-05
  7.20000000E-01  1.47725390E-02  1.51961964E-05
  7.50000000E-01  1.44676956E-02  1.47989622E-05
  7.80000000E-01  1.41542435E-02  1.44542437E-05
  8.10000000E-01  1.38317928E-02  1.42251968E-05
  8.40000000E-01  1.35012141E-02  1.39196806E-05
  8.70000000E-01  1.31669050E-02  1.35856234E-05
  9.00000000E-01  1.28237225E-02  1.31277503E-05
  9.30000000E-01  1.24803933E-02  1.26908028E-05
  9.60000000E-01  1.21273984E-02  1.24150095E-05
  9.90000000E-01  1.17686051E-02  1.20636801E-05
  1.02000000E+00  1.14117519E-02  1.17031639E-05
  1.05000000E+00  1.10530079E-02  1.15423032E-05
  1.08000000E+00  1.06857166E-02  1.09105866E-05
  1.11000000E+00  1.03190760E-02  1.05195968E-05
  1.14000000E+00  9.95346375E-03  1.02761937E-05
  1.17000000E+00  9.58536125E-03  1.01463978E-05
  1.20000000E+00  9.21960418E-03  9.44786911E-06
  1.23000000E+00  8.85467620E-03  9.41142463E-06
  1.26000000E+00  8.48431755E-03  9.00499289E-06
  1.29000000E+00  8.12283510E-03  8.62896347E-06
  1.32000000E+00  7.76602513E-03  8.30031416E-06
  1.35000000E+00  7.41318512E-03  7.79144720E-06
  1.38000000E+00  7.05920743E-03  7.92613556E-06
  1.41000000E+00  6.70989121E-03  7.14904873E-06
  1.44000000E+00  6.36966146E-03  6.85315884E-06
  1.47000000E+00  6.03370186E-03  6.63373500E-06
  1.50000000E+00  5.70346564E-03  6.38355186E-06
  1.53000000E+00  5.38206717E-03  6.10746295E-06
  1.56000000E+00  5.06854750E-03  5.61703788E-06
  1.59000000E+00  4.76341898E-03  5.42814271E-06
  1.62000000E+00  4.46566039E-03  5.10521397E-06
  1.65000000E+00  4.17624564E-03  4.75960487E-06
  1.68000000E+00  3.89884167E-03  4.51676011E-06
  1.71000000E+00  3.63047568E-03  4.25511499E-06
  1.74000000E+00  3.37085122E-03  3.78732505E-06
  1.77000000E+00  3.12155396E-03  3.63576521E-06
  1.80000000E+00  2.88629272E-03  3.46186196E-06
  1.83000000E+00  2.65847066E-03  3.20306838E-06
  1.86000000E+00  2.44262937E-03  3.00349380E-06
  1.89000000E+00  2.23716369E-03  2.62776918E-06
  1.92000000E+00  2.04238370E-03  2.52798095E-06
  1.95000000E+00  1.85935540E-03  2.23839409E-06
  1.98000000E+00  1.68695479E-03  2.08793112E-06
  2.01000000E+00  1.52538947E-03  1.87586411E-06
  2.04000000E+00  1.37384381E-03  1.65753812E-06
  2.07000000E+00  1.23369608E-03  1.54024996E-06
  2.10000000E+00  1.10211619E-03  1.45167202E-06
  2.13000000E+00  9.82490991E-04  1.23662505E-06
  2.16000000E+00  8.71315617E-04  1.10161474E-06
  2.19000000E+00  7.70578354E-04  9.70035215E-07
  2.22000000E+00  6.77141528E-04  8.74082087E-07
  2.25000000E+00  5.92654539E-04  8.27717538E-07
  2.28000000E+00  5.16708421E-04  7.07014073E-07
  2.31000000E+00  4.47584352E-04  6.34253449E-07
  2.34000000E+00  3.85955616E-04  5.48124192E-07
  2.37000000E+00  3.31495843E-04  4.84223381E-07
  2.40000000E+00  2.82839629E-04  4.39042022E-07
  2.43000000E+00  2.40026536E-04  3.70776897E-07
  2.46000000E+00  2.02468683E-04  3.29142837E-07
  2.49000000E+00  1.69602555E-04  2.89031984E-07
  2.52000000E+00  1.40904105E-04  2.42949027E-07
  2.55000000E+00  1.16804398E-04  1.99517374E-07
  2.58000000E+00  9.57140532E-05  1.75607554E-07
  2.61000000E+00  7.78859789E-05  1.52258197E-07
  2.64000000E+00  6.30767506E-05  1.27739928E-07
  2.67000000E+00  5.05208490E-05  1.09044036E-07
  2.70000000E+00  4.01824083E-05  1.00157473E-07
  2.73000000E+00  3.16078509E-05  8.03815143E-08
