#                  N = 20.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.37686823E-02  3.14668567E-05
  3.00000000E-02  1.37172396E-02  3.09096979E-05
  6.00000000E-02  1.36997746E-02  2.91796943E-05
  9.00000000E-02  1.36568935E-02  2.90009197E-05
  1.20000000E-01  1.36225892E-02  2.80608769E-05
  1.50000000E-01  1.35714171E-02  2.97660304E-05
  1.80000000E-01  1.34958895E-02  2.84195215E-05
  2.10000000E-01  1.34147572E-02  2.81806682E-05
  2.40000000E-01  1.33386469E-02  2.71957525E-05
  2.70000000E-01  1.32364425E-02  2.83290433E-05
  3.00000000E-01  1.31277373E-02  2.62524773E-05
  3.30000000E-01  1.30016407E-02  2.62271078E-05
  3.60000000E-01  1.28696708E-02  2.70077839E-05
  3.90000000E-01  1.27269915E-02  2.66661443E-05
  4.20000000E-01  1.25841178E-02  2.57473631E-05
  4.50000000E-01  1.24184984E-02  2.51972925E-05
  4.80000000E-01  1.22527859E-02  2.47050810E-05
  5.10000000E-01  1.20706152E-02  2.45633588E-05
  5.40000000E-01  1.18865186E-02  2.33387045E-05
  5.70000000E-01  1.16854608E-02  2.41996890E-05
  6.00000000E-01  1.14868275E-02  2.28213850E-05
  6.30000000E-01  1.12755013E-02  2.24467921E-05
  6.60000000E-01  1.10591507E-02  2.19263922E-05
  6.90000000E-01  1.08333414E-02  2.17941044E-05
  7.20000000E-01  1.06039570E-02  2.08502006E-05
  7.50000000E-01  1.03700632E-02  2.05104488E-05
  7.80000000E-01  1.01246415E-02  1.97087516E-05
  8.10000000E-01  9.87632418E-03  1.94722241E-05
  8.40000000E-01  9.62402785E-03  1.85469648E-05
  8.70000000E-01  9.36805307E-03  1.83581684E-05
  9.00000000E-01  9.10547654E-03  1.80623605E-05
  9.30000000E-01  8.84375427E-03  1.70079111E-05
  9.60000000E-01  8.57575029E-03  1.69292041E-05
  9.90000000E-01  8.30913010E-03  1.62819175E-05
  1.02000000E+00  8.04029810E-03  1.57060497E-05
  1.05000000E+00  7.76684515E-03  1.51622715E-05
  1.08000000E+00  7.49562949E-03  1.43210874E-05
  1.11000000E+00  7.22608712E-03  1.40052749E-05
  1.14000000E+00  6.94957205E-03  1.31162437E-05
  1.17000000E+00  6.67742568E-03  1.26863781E-05
  1.20000000E+00  6.40662044E-03  1.20706358E-05
  1.23000000E+00  6.13900365E-03  1.17986632E-05
  1.26000000E+00  5.87260226E-03  1.12903529E-05
  1.29000000E+00  5.60868244E-03  1.06238767E-05
  1.32000000E+00  5.34937839E-03  1.01448223E-05
  1.35000000E+00  5.09146288E-03  9.76961984E-06
  1.38000000E+00  4.83755977E-03  9.25384866E-06
  1.41000000E+00  4.58890870E-03  8.95047344E-06
  1.44000000E+00  4.34428154E-03  8.40282778E-06
  1.47000000E+00  4.10723762E-03  7.94785597E-06
  1.50000000E+00  3.87440810E-03  7.35979488E-06
  1.53000000E+00  3.64634906E-03  7.13528090E-06
  1.56000000E+00  3.42649036E-03  6.67202850E-06
  1.59000000E+00  3.21225047E-03  6.12441384E-06
  1.62000000E+00  3.00523044E-03  5.80552487E-06
  1.65000000E+00  2.80344876E-03  5.35136629E-06
  1.68000000E+00  2.61119031E-03  4.98035142E-06
  1.71000000E+00  2.42617510E-03  4.62128519E-06
  1.74000000E+00  2.24830515E-03  4.34963656E-06
  1.77000000E+00  2.07730808E-03  4.07549915E-06
  1.80000000E+00  1.91412492E-03  3.77965301E-06
  1.83000000E+00  1.76049748E-03  3.47606280E-06
  1.86000000E+00  1.61360475E-03  3.19327503E-06
  1.89000000E+00  1.47472842E-03  2.85746834E-06
  1.92000000E+00  1.34394998E-03  2.64627971E-06
  1.95000000E+00  1.22125738E-03  2.38467551E-06
  1.98000000E+00  1.10590821E-03  2.11444737E-06
  2.01000000E+00  9.97656853E-04  1.94179882E-06
  2.04000000E+00  8.97143171E-04  1.72999861E-06
  2.07000000E+00  8.03978490E-04  1.62449259E-06
  2.10000000E+00  7.17481901E-04  1.42698735E-06
  2.13000000E+00  6.37809000E-04  1.26370451E-06
  2.16000000E+00  5.64621618E-04  1.12439697E-06
  2.19000000E+00  4.98071254E-04  9.81460013E-07
  2.22000000E+00  4.37141134E-04  9.17364279E-07
  2.25000000E+00  3.82114946E-04  8.33185017E-07
  2.28000000E+00  3.32349437E-04  7.30983452E-07
  2.31000000E+00  2.87572697E-04  6.37763991E-07
  2.34000000E+00  2.47501872E-04  5.10825610E-07
  2.37000000E+00  2.12052699E-04  4.72585579E-07
  2.40000000E+00  1.80613520E-04  3.89508505E-07
  2.43000000E+00  1.52718826E-04  3.44544402E-07
  2.46000000E+00  1.28705055E-04  2.96510006E-07
  2.49000000E+00  1.07688280E-04  2.40938769E-07
  2.52000000E+00  8.96949628E-05  2.06465666E-07
  2.55000000E+00  7.38343587E-05  1.97491559E-07
  2.58000000E+00  6.05730343E-05  1.66759658E-07
  2.61000000E+00  4.92677253E-05  1.34961231E-07
  2.64000000E+00  3.97848593E-05  1.08849396E-07
  2.67000000E+00  3.16898337E-05  8.92360343E-08
  2.70000000E+00  2.52782992E-05  7.59167338E-08
  2.73000000E+00  1.98762047E-05  7.11563325E-08
  2.76000000E+00  1.54558892E-05  5.72383492E-08
  2.79000000E+00  1.19393102E-05  5.02010570E-08
  2.82000000E+00  9.13756341E-06  3.82064642E-08
  2.85000000E+00  6.87676752E-06  3.56371559E-08
  2.88000000E+00  5.13491571E-06  2.85337730E-08
  2.91000000E+00  3.81333430E-06  2.55925458E-08
  2.94000000E+00  2.77926721E-06  2.01277368E-08
  2.97000000E+00  1.99629174E-06  1.62190379E-08
  3.00000000E+00  1.40525105E-06  1.33865996E-08
  3.03000000E+00  9.80819559E-07  1.14043939E-08
  3.06000000E+00  6.65148619E-07  8.88835202E-09
  3.09000000E+00  4.58393574E-07  7.23418644E-09
  3.12000000E+00  3.01678575E-07  5.65220557E-09
  3.15000000E+00  1.88994609E-07  4.77312605E-09
