#                  N = 80.00                                       N = 60.00                                       N = 60.00                                       N = 80.00                                       N = 50.00                                       N = 70.00                                       N = 50.00                                       N = 60.00                                       N = 50.00                                       N = 50.00                                       N = 50.00                                       N = 50.00                                       N = 40.00                                       N = 40.00                                       N = 30.00                                       N = 30.00                                       N = 20.00                                       N = 20.00                                       N = 10.00                                       N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  4.00000000E-01  1.13365814E-03  7.25942526E-05  3.00000000E-01  2.86127721E-01  5.92810547E-04  3.00000000E-01  6.52944608E-02  1.04357325E-02  4.00000000E-01  1.19683212E-03  1.18518371E-04  3.00000000E-01  6.30576796E-03  2.47160192E-03  4.00000000E-01  2.68241999E-03  1.72001589E-04  3.00000000E-01  4.34505421E-03  1.76686520E-03  4.00000000E-01  3.39310595E-03  2.33210473E-04  4.00000000E-01  8.98254317E-03  4.59757528E-04  3.00000000E-01  1.92380242E-04  1.09617194E-05  3.00000000E-01  3.77146787E-04  1.23889369E-05  4.00000000E-01  2.78790022E-02  8.15606207E-04  4.00000000E-01  3.61491927E-02  3.28494773E-04  3.00000000E-01  4.14888873E-04  1.24094008E-05  4.00000000E-01  6.05889003E-03  1.10989391E-04  3.00000000E-01  5.25154025E-04  1.23415643E-05  4.00000000E-01  5.03535925E-07  1.82979221E-08  3.00000000E-01  6.38692679E-04  1.00903187E-05  3.00000000E-01  9.09420689E-04  7.47891675E-06  4.00000000E-01  3.33467500E-08  4.30650259E-09
  4.40000000E-01  1.36690775E-03  7.45805191E-05  3.30000000E-01  2.62078350E-01  5.05009734E-04  3.30000000E-01  6.07835042E-02  9.67074912E-03  4.40000000E-01  1.48091192E-03  1.29586166E-04  3.30000000E-01  5.86833629E-03  2.26213563E-03  4.40000000E-01  3.08711950E-03  1.81459098E-04  3.30000000E-01  4.10355899E-03  1.64791023E-03  4.40000000E-01  4.01097491E-03  2.71954098E-04  4.40000000E-01  9.72022225E-03  4.46945240E-04  3.30000000E-01  2.10156048E-04  1.04851607E-05  3.30000000E-01  4.26253040E-04  1.25611217E-05  4.40000000E-01  2.82432044E-02  8.11453538E-04  4.40000000E-01  3.58437724E-02  3.06596853E-04  3.30000000E-01  4.71597665E-04  1.37969099E-05  4.40000000E-01  5.96026704E-03  1.08978671E-04  3.30000000E-01  5.68109158E-04  1.40130150E-05  4.40000000E-01  5.17461158E-07  1.73220797E-08  3.30000000E-01  7.02738835E-04  1.10789404E-05  3.30000000E-01  9.90574901E-04  7.58921314E-06  4.40000000E-01  3.80587907E-08  4.45910426E-09
  4.80000000E-01  1.69595894E-03  8.38304920E-05  3.60000000E-01  2.38462551E-01  4.27361943E-04  3.60000000E-01  5.60519617E-02  8.85670770E-03  4.80000000E-01  1.89288982E-03  1.51849826E-04  3.60000000E-01  5.47084858E-03  2.08319416E-03  4.80000000E-01  3.68096354E-03  1.90581200E-04  3.60000000E-01  3.84851596E-03  1.52421396E-03  4.80000000E-01  4.68703148E-03  2.85177088E-04  4.80000000E-01  1.04981309E-02  4.38955792E-04  3.60000000E-01  2.39550231E-04  1.13124306E-05  3.60000000E-01  4.72788576E-04  1.31619947E-05  4.80000000E-01  2.85205477E-02  7.80519461E-04  4.80000000E-01  3.54643789E-02  2.83692978E-04  3.60000000E-01  5.20175134E-04  1.34214704E-05  4.80000000E-01  5.91019414E-03  1.07829401E-04  3.60000000E-01  6.38651372E-04  1.48482654E-05  4.80000000E-01  5.53222582E-07  1.77939064E-08  3.60000000E-01  7.80712525E-04  1.05343023E-05  3.60000000E-01  1.07246551E-03  8.02530669E-06  4.80000000E-01  3.83245102E-08  4.21580940E-09
  5.20000000E-01  2.10195338E-03  7.97905129E-05  3.90000000E-01  2.14944670E-01  3.67528150E-04  3.90000000E-01  5.16227163E-02  8.11906996E-03  5.20000000E-01  2.34216455E-03  1.62039635E-04  3.90000000E-01  5.06572742E-03  1.88938039E-03  5.20000000E-01  4.32315402E-03  2.00300701E-04  3.90000000E-01  3.56799969E-03  1.40719802E-03  5.20000000E-01  5.42551486E-03  3.08076565E-04  5.20000000E-01  1.14550898E-02  4.14752493E-04  3.90000000E-01  2.65515415E-04  1.17138001E-05  3.90000000E-01  5.35336929E-04  1.43788346E-05  5.20000000E-01  2.88665731E-02  7.29926193E-04  5.20000000E-01  3.51875926E-02  2.71767886E-04  3.90000000E-01  5.94701557E-04  1.48927165E-05  5.20000000E-01  5.84004095E-03  1.04964676E-04  3.90000000E-01  6.98336885E-04  1.45579720E-05  5.20000000E-01  5.96418412E-07  1.78093708E-08  3.90000000E-01  8.65798889E-04  9.95777309E-06  3.90000000E-01  1.17770551E-03  8.21026698E-06  5.20000000E-01  3.90224341E-08  3.82359025E-09
  5.60000000E-01  2.59547150E-03  8.99708404E-05  4.20000000E-01  1.92555629E-01  3.03105691E-04  4.20000000E-01  4.71406221E-02  7.35899713E-03  5.60000000E-01  2.87528031E-03  1.62349936E-04  4.20000000E-01  4.68676388E-03  1.70841894E-03  5.60000000E-01  5.12176934E-03  2.18568955E-04  4.20000000E-01  3.36526294E-03  1.30387318E-03  5.60000000E-01  6.28225112E-03  3.46063207E-04  5.60000000E-01  1.24359917E-02  4.28663251E-04  4.20000000E-01  2.98730970E-04  1.15901883E-05  4.20000000E-01  5.88820633E-04  1.44189512E-05  5.60000000E-01  2.92364279E-02  7.00987092E-04  5.60000000E-01  3.47628138E-02  2.64024626E-04  4.20000000E-01  6.65554716E-04  1.57442230E-05  5.60000000E-01  5.77000371E-03  1.05963080E-04  4.20000000E-01  7.73431860E-04  1.45680280E-05  5.60000000E-01  6.21362850E-07  1.73720348E-08  4.20000000E-01  9.56712088E-04  9.86845737E-06  4.20000000E-01  1.28848603E-03  7.89717217E-06  5.60000000E-01  4.41243360E-08  4.46596116E-09
  6.00000000E-01  3.25959416E-03  1.07929816E-04  4.50000000E-01  1.70798640E-01  2.93624704E-04  4.50000000E-01  4.27967379E-02  6.62633339E-03  6.00000000E-01  3.67994600E-03  2.00649216E-04  4.50000000E-01  4.34482798E-03  1.53792943E-03  6.00000000E-01  5.98611342E-03  2.39771600E-04  4.50000000E-01  3.12585130E-03  1.17945079E-03  6.00000000E-01  7.18518903E-03  3.65879718E-04  6.00000000E-01  1.36610803E-02  4.15603638E-04  4.50000000E-01  3.32863731E-04  1.23601863E-05  4.50000000E-01  6.61353724E-04  1.49207018E-05  6.00000000E-01  2.94303122E-02  6.72785969E-04  6.00000000E-01  3.43457820E-02  2.39223011E-04  4.50000000E-01  7.36341806E-04  1.50651749E-05  6.00000000E-01  5.65230858E-03  1.04450372E-04  4.50000000E-01  8.72010384E-04  1.52543177E-05  6.00000000E-01  6.73995513E-07  1.73746757E-08  4.50000000E-01  1.06131944E-03  1.12447232E-05  4.50000000E-01  1.41217040E-03  8.52249536E-06  6.00000000E-01  4.85679277E-08  4.27558816E-09
  6.40000000E-01  3.97897990E-03  1.19935195E-04  4.80000000E-01  1.50527686E-01  2.40648473E-04  4.80000000E-01  3.85595696E-02  5.91232493E-03  6.40000000E-01  4.46000639E-03  2.28875636E-04  4.80000000E-01  4.01833304E-03  1.37355516E-03  6.40000000E-01  7.00217584E-03  2.42249399E-04  4.80000000E-01  2.90392312E-03  1.06721385E-03  6.40000000E-01  8.32899217E-03  3.90286226E-04  6.40000000E-01  1.48527966E-02  4.04084258E-04  4.80000000E-01  3.67999946E-04  1.22023113E-05  4.80000000E-01  7.42380367E-04  1.55830973E-05  6.40000000E-01  2.99016051E-02  6.33017669E-04  6.40000000E-01  3.36883252E-02  2.27752535E-04  4.80000000E-01  8.32090791E-04  1.75443698E-05  6.40000000E-01  5.57308873E-03  1.03294866E-04  4.80000000E-01  9.61127544E-04  1.44858805E-05  6.40000000E-01  7.23528018E-07  1.75622571E-08  4.80000000E-01  1.18005806E-03  1.24288879E-05  4.80000000E-01  1.54970086E-03  8.89548800E-06  6.40000000E-01  5.33410204E-08  4.41620325E-09
  6.80000000E-01  4.79870171E-03  1.24713982E-04  5.10000000E-01  1.31574239E-01  2.19252086E-04  5.10000000E-01  3.47045385E-02  5.27278110E-03  6.80000000E-01  5.37034000E-03  2.37406424E-04  5.10000000E-01  3.69512798E-03  1.21297793E-03  6.80000000E-01  8.11633047E-03  2.63959179E-04  5.10000000E-01  2.73866663E-03  9.81631037E-04  6.80000000E-01  9.66951558E-03  4.09154684E-04  6.80000000E-01  1.63022287E-02  3.98913711E-04  5.10000000E-01  4.17958423E-04  1.26100795E-05  5.10000000E-01  8.29913966E-04  1.82920357E-05  6.80000000E-01  3.02882360E-02  5.73576975E-04  6.80000000E-01  3.31165765E-02  2.06667255E-04  5.10000000E-01  9.36271575E-04  1.77139436E-05  6.80000000E-01  5.47097745E-03  9.99907686E-05  5.10000000E-01  1.07501143E-03  1.48024346E-05  6.80000000E-01  7.89317572E-07  1.84020622E-08  5.10000000E-01  1.31014897E-03  1.21897419E-05  5.10000000E-01  1.69824575E-03  9.50064894E-06  6.80000000E-01  4.97472880E-08  3.75153666E-09
  7.20000000E-01  5.90563474E-03  1.38344252E-04  5.40000000E-01  1.14404259E-01  2.24120642E-04  5.40000000E-01  3.11047011E-02  4.67802210E-03  7.20000000E-01  6.60390762E-03  2.75805234E-04  5.40000000E-01  3.46101076E-03  1.08585511E-03  7.20000000E-01  9.37125183E-03  2.75851344E-04  5.40000000E-01  2.52734070E-03  8.61527747E-04  7.20000000E-01  1.11580672E-02  4.40241055E-04  7.20000000E-01  1.78100831E-02  3.81290040E-04  5.40000000E-01  4.70875791E-04  1.31359206E-05  5.40000000E-01  9.33120001E-04  1.85636158E-05  7.20000000E-01  3.05575477E-02  5.31196410E-04  7.20000000E-01  3.26675553E-02  1.98972226E-04  5.40000000E-01  1.04602148E-03  1.82513770E-05  7.20000000E-01  5.34675348E-03  9.80304768E-05  5.40000000E-01  1.19422513E-03  1.50835023E-05  7.20000000E-01  8.58576396E-07  1.79038651E-08  5.40000000E-01  1.45237560E-03  1.36097627E-05  5.40000000E-01  1.86102224E-03  9.34110436E-06  7.20000000E-01  5.33384134E-08  4.01743582E-09
  7.60000000E-01  7.12983558E-03  1.50637464E-04  5.70000000E-01  9.86656346E-02  2.42538782E-04  5.70000000E-01  2.76797196E-02  4.10625354E-03  7.60000000E-01  8.00226069E-03  2.93132508E-04  5.70000000E-01  3.23776265E-03  9.51805610E-04  7.60000000E-01  1.10101811E-02  2.86703599E-04  5.70000000E-01  2.40500506E-03  7.78390849E-04  7.60000000E-01  1.26867757E-02  4.45613772E-04  7.60000000E-01  1.95738442E-02  3.68379802E-04  5.70000000E-01  5.28378600E-04  1.35650274E-05  5.70000000E-01  1.04166286E-03  1.88068753E-05  7.60000000E-01  3.09587087E-02  4.81595326E-04  7.60000000E-01  3.18911010E-02  1.89384639E-04  5.70000000E-01  1.16240098E-03  1.90772249E-05  7.60000000E-01  5.23280267E-03  9.56360467E-05  5.70000000E-01  1.33019415E-03  1.73655897E-05  7.60000000E-01  9.29138396E-07  1.89392393E-08  5.70000000E-01  1.60258398E-03  1.32707956E-05  5.70000000E-01  2.04552388E-03  9.73329333E-06  7.60000000E-01  6.25193264E-08  4.06743466E-09
  8.00000000E-01  8.66155899E-03  1.81682586E-04  6.00000000E-01  8.44118662E-02  2.10140913E-04  6.00000000E-01  2.46298354E-02  3.60521100E-03  8.00000000E-01  9.59804628E-03  3.23256844E-04  6.00000000E-01  3.07189133E-03  8.49816141E-04  8.00000000E-01  1.28153881E-02  3.03985008E-04  6.00000000E-01  2.26440553E-03  6.77127439E-04  8.00000000E-01  1.43768974E-02  4.84141194E-04  8.00000000E-01  2.12083135E-02  3.48867300E-04  6.00000000E-01  5.96344988E-04  1.42385957E-05  6.00000000E-01  1.15974385E-03  2.10330206E-05  8.00000000E-01  3.13218149E-02  4.34916136E-04  8.00000000E-01  3.13213584E-02  1.73651792E-04  6.00000000E-01  1.30225346E-03  1.92780585E-05  8.00000000E-01  5.10924985E-03  9.37568247E-05  6.00000000E-01  1.48628407E-03  1.62787798E-05  8.00000000E-01  1.01168198E-06  1.94590258E-08  6.00000000E-01  1.77407125E-03  1.54664603E-05  6.00000000E-01  2.24307303E-03  1.07254108E-05  8.00000000E-01  6.50594353E-08  4.11695086E-09
  8.40000000E-01  1.01672890E-02  1.83774390E-04  6.30000000E-01  7.16562695E-02  2.20279788E-04  6.30000000E-01  2.17618844E-02  3.13342120E-03  8.40000000E-01  1.13580639E-02  3.20035040E-04  6.30000000E-01  2.88997486E-03  7.33811959E-04  8.40000000E-01  1.46757156E-02  3.32080072E-04  6.30000000E-01  2.17342788E-03  6.13026039E-04  8.40000000E-01  1.64627316E-02  5.23654861E-04  8.40000000E-01  2.29138241E-02  3.21366668E-04  6.30000000E-01  6.71723408E-04  1.44340758E-05  6.30000000E-01  1.29915347E-03  2.30709708E-05  8.40000000E-01  3.15712826E-02  3.69402724E-04  8.40000000E-01  3.06100094E-02  1.73139358E-04  6.30000000E-01  1.46896269E-03  1.98484341E-05  8.40000000E-01  4.99309990E-03  9.09371607E-05  6.30000000E-01  1.64688927E-03  1.63499662E-05  8.40000000E-01  1.12378195E-06  2.00040126E-08  6.30000000E-01  1.96782839E-03  1.57047686E-05  6.30000000E-01  2.46114619E-03  1.05728060E-05  8.40000000E-01  7.21749161E-08  4.08329544E-09
  8.80000000E-01  1.22455113E-02  2.10400892E-04  6.60000000E-01  6.05605159E-02  2.10323457E-04  6.60000000E-01  1.92095189E-02  2.71586129E-03  8.80000000E-01  1.35113508E-02  3.30683848E-04  6.60000000E-01  2.77709171E-03  6.49951691E-04  8.80000000E-01  1.67441307E-02  3.27771294E-04  6.60000000E-01  2.10455003E-03  5.39979117E-04  8.80000000E-01  1.85917587E-02  5.34221792E-04  8.80000000E-01  2.48615621E-02  3.19977062E-04  6.60000000E-01  7.65040232E-04  1.58160775E-05  6.60000000E-01  1.46218772E-03  2.44481337E-05  8.80000000E-01  3.16775774E-02  3.09137014E-04  8.80000000E-01  2.98736396E-02  1.67374218E-04  6.60000000E-01  1.65079712E-03  2.08623121E-05  8.80000000E-01  4.84017361E-03  8.89295754E-05  6.60000000E-01  1.83931332E-03  1.77170379E-05  8.80000000E-01  1.22330026E-06  2.18389096E-08  6.60000000E-01  2.19084050E-03  1.62492444E-05  6.60000000E-01  2.70291069E-03  1.12476640E-05  8.80000000E-01  8.25483639E-08  4.19332850E-09
