#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.32918641E-01  1.79937740E-03
  3.00000000E-02  2.30362455E-01  1.73203463E-03
  6.00000000E-02  2.27825595E-01  1.67838284E-03
  9.00000000E-02  2.25014229E-01  1.65540944E-03
  1.20000000E-01  2.20544534E-01  1.62864177E-03
  1.50000000E-01  2.15411421E-01  1.54961602E-03
  1.80000000E-01  2.09983536E-01  1.55283924E-03
  2.10000000E-01  2.03213449E-01  1.46147684E-03
  2.40000000E-01  1.95453866E-01  1.42708301E-03
  2.70000000E-01  1.87407572E-01  1.37538379E-03
  3.00000000E-01  1.78666372E-01  1.32285239E-03
  3.30000000E-01  1.69709091E-01  1.23950406E-03
  3.60000000E-01  1.60470889E-01  1.19899059E-03
  3.90000000E-01  1.50795596E-01  1.14324319E-03
  4.20000000E-01  1.41181835E-01  1.06057058E-03
  4.50000000E-01  1.31621348E-01  1.04409515E-03
  4.80000000E-01  1.21875361E-01  9.54881140E-04
  5.10000000E-01  1.12530296E-01  9.21242336E-04
  5.40000000E-01  1.03008759E-01  8.44300137E-04
  5.70000000E-01  9.41426975E-02  7.67174454E-04
  6.00000000E-01  8.54851575E-02  7.16297243E-04
  6.30000000E-01  7.74049613E-02  6.68809842E-04
  6.60000000E-01  6.95252683E-02  6.14500352E-04
  6.90000000E-01  6.20924282E-02  5.53529374E-04
  7.20000000E-01  5.52488971E-02  5.15524760E-04
  7.50000000E-01  4.88715654E-02  4.73640097E-04
  7.80000000E-01  4.30481309E-02  4.24073903E-04
  8.10000000E-01  3.77784896E-02  3.73008181E-04
  8.40000000E-01  3.28635932E-02  3.47122772E-04
  8.70000000E-01  2.84583708E-02  3.01586062E-04
  9.00000000E-01  2.45882013E-02  2.91682600E-04
  9.30000000E-01  2.10547802E-02  2.57155653E-04
  9.60000000E-01  1.79958018E-02  2.13057553E-04
  9.90000000E-01  1.52531632E-02  1.91373303E-04
  1.02000000E+00  1.29274211E-02  1.71147795E-04
  1.05000000E+00  1.08497390E-02  1.50702011E-04
  1.08000000E+00  9.10151394E-03  1.29362550E-04
  1.11000000E+00  7.57376142E-03  1.12120947E-04
  1.14000000E+00  6.27984886E-03  1.01992448E-04
  1.17000000E+00  5.19838432E-03  8.32077077E-05
  1.20000000E+00  4.27030638E-03  7.22257312E-05
  1.23000000E+00  3.49514756E-03  6.44186638E-05
  1.26000000E+00  2.86597114E-03  5.48180184E-05
  1.29000000E+00  2.32825957E-03  4.72916052E-05
  1.32000000E+00  1.87220106E-03  4.10885208E-05
  1.35000000E+00  1.52429981E-03  3.68497859E-05
  1.38000000E+00  1.24048498E-03  3.11715260E-05
  1.41000000E+00  1.00001650E-03  2.72898770E-05
  1.44000000E+00  8.13385738E-04  2.26517640E-05
  1.47000000E+00  6.68619392E-04  2.05830377E-05
  1.50000000E+00  5.57335967E-04  1.70307086E-05
  1.53000000E+00  4.65065504E-04  1.55084119E-05
  1.56000000E+00  3.99448785E-04  1.36376892E-05
  1.59000000E+00  3.52621760E-04  1.25376541E-05
  1.62000000E+00  3.24693392E-04  1.15690946E-05
  1.65000000E+00  3.16428595E-04  1.14706541E-05
  1.68000000E+00  3.21278483E-04  1.17490950E-05
  1.71000000E+00  3.41143672E-04  1.27323668E-05
  1.74000000E+00  3.72339141E-04  1.36761179E-05
  1.77000000E+00  4.22834948E-04  1.57603794E-05
  1.80000000E+00  4.86400534E-04  1.71169964E-05
  1.83000000E+00  5.72579381E-04  1.92218417E-05
  1.86000000E+00  6.79459879E-04  2.06508351E-05
  1.89000000E+00  8.17019188E-04  2.39575127E-05
  1.92000000E+00  9.63927636E-04  2.78303804E-05
