#                  N = 40.00                                       N = 60.00                                       N = 60.00                                       N = 40.00                                       N = 40.00                                       N = 40.00                                       N = 40.00                                       N = 40.00                                       N = 30.00                                       N = 30.00                                       N = 30.00                                       N = 30.00                                       N = 20.00                                       N = 20.00                                       N = 20.00                                       N = 20.00                                       N = 10.00                                       N = 10.00                                       N = 10.00                                       N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.57377291E-01  2.02165543E-03  0.00000000E+00  2.77430911E-01  1.64572821E-03  0.00000000E+00  2.77695469E-01  1.64996571E-03  0.00000000E+00  2.55313033E-01  1.50203297E-03  0.00000000E+00  2.50038162E-01  1.84990973E-03  0.00000000E+00  2.49955340E-01  1.74847920E-03  0.00000000E+00  2.46799836E-01  1.48496930E-03  0.00000000E+00  2.55207987E-01  1.58698288E-03  0.00000000E+00  2.51440756E-01  1.68827489E-03  0.00000000E+00  2.47589847E-01  1.89970355E-03  0.00000000E+00  2.56958975E-01  2.11094254E-03  0.00000000E+00  2.50687187E-01  1.65687325E-03  0.00000000E+00  2.45895997E-01  1.60058653E-03  0.00000000E+00  2.54189010E-01  1.57893627E-03  0.00000000E+00  2.44360122E-01  1.75823939E-03  0.00000000E+00  2.36158120E-01  2.14402651E-03  0.00000000E+00  2.41300247E-01  1.60002242E-03  0.00000000E+00  2.29730141E-01  1.79014433E-03  0.00000000E+00  2.30122851E-01  2.41557837E-03  0.00000000E+00  1.99320178E-01  2.11441892E-03
  3.00000000E-02  2.56082346E-01  1.52237789E-03  3.00000000E-02  2.74146263E-01  1.24044732E-03  3.00000000E-02  2.78437468E-01  1.31457097E-03  3.00000000E-02  2.53728290E-01  1.14171619E-03  3.00000000E-02  2.47087569E-01  1.31278053E-03  3.00000000E-02  2.50582640E-01  1.23795024E-03  3.00000000E-02  2.45655822E-01  1.28858650E-03  3.00000000E-02  2.54167389E-01  1.25940775E-03  3.00000000E-02  2.49970031E-01  1.55401083E-03  3.00000000E-02  2.48798055E-01  1.45534681E-03  3.00000000E-02  2.56400394E-01  1.82843927E-03  3.00000000E-02  2.48030626E-01  1.39685347E-03  3.00000000E-02  2.44391800E-01  1.41833135E-03  3.00000000E-02  2.53200868E-01  1.35769788E-03  3.00000000E-02  2.43375533E-01  1.40846121E-03  3.00000000E-02  2.34488442E-01  2.25005273E-03  3.00000000E-02  2.40617625E-01  1.42894126E-03  3.00000000E-02  2.27467702E-01  1.57599440E-03  3.00000000E-02  2.29667517E-01  1.96815843E-03  3.00000000E-02  1.98846050E-01  1.95452986E-03
  6.00000000E-02  2.53580643E-01  1.36023982E-03  6.00000000E-02  2.72852492E-01  1.16395291E-03  6.00000000E-02  2.73489902E-01  1.25483119E-03  6.00000000E-02  2.50691078E-01  1.02016288E-03  6.00000000E-02  2.45170413E-01  1.44199487E-03  6.00000000E-02  2.47075955E-01  1.36205458E-03  6.00000000E-02  2.42825002E-01  1.15500977E-03  6.00000000E-02  2.52063819E-01  1.06339238E-03  6.00000000E-02  2.47994578E-01  1.24480599E-03  6.00000000E-02  2.46984786E-01  1.53068740E-03  6.00000000E-02  2.53666641E-01  1.67783091E-03  6.00000000E-02  2.46059184E-01  1.27248664E-03  6.00000000E-02  2.41595474E-01  1.35654432E-03  6.00000000E-02  2.52149976E-01  1.76740843E-03  6.00000000E-02  2.40742436E-01  1.22524047E-03  6.00000000E-02  2.33066083E-01  2.24269124E-03  6.00000000E-02  2.38654955E-01  1.42336973E-03  6.00000000E-02  2.25048818E-01  1.42356965E-03  6.00000000E-02  2.26981291E-01  1.82907676E-03  6.00000000E-02  1.97421983E-01  2.13742959E-03
  9.00000000E-02  2.49812079E-01  1.32791196E-03  9.00000000E-02  2.68080014E-01  1.09020176E-03  9.00000000E-02  2.69483464E-01  1.07055631E-03  9.00000000E-02  2.47087358E-01  1.01486945E-03  9.00000000E-02  2.40785692E-01  1.21148038E-03  9.00000000E-02  2.44105155E-01  1.13952233E-03  9.00000000E-02  2.39989714E-01  1.16849383E-03  9.00000000E-02  2.47730624E-01  1.02831379E-03  9.00000000E-02  2.42876986E-01  1.26773853E-03  9.00000000E-02  2.44094640E-01  1.36690286E-03  9.00000000E-02  2.50316388E-01  1.49786773E-03  9.00000000E-02  2.42488187E-01  1.27713816E-03  9.00000000E-02  2.38631508E-01  1.43398962E-03  9.00000000E-02  2.48059634E-01  1.35608426E-03  9.00000000E-02  2.36755040E-01  1.12823946E-03  9.00000000E-02  2.29249852E-01  1.98975830E-03  9.00000000E-02  2.35085031E-01  1.17482692E-03  9.00000000E-02  2.22240048E-01  1.46311950E-03  9.00000000E-02  2.23383635E-01  1.81436929E-03  9.00000000E-02  1.94788923E-01  2.01146994E-03
  1.20000000E-01  2.45287792E-01  1.32634153E-03  1.20000000E-01  2.62977768E-01  1.04071563E-03  1.20000000E-01  2.63040284E-01  9.62488412E-04  1.20000000E-01  2.42287168E-01  8.89833211E-04  1.20000000E-01  2.37105999E-01  1.11861004E-03  1.20000000E-01  2.38744584E-01  1.19683449E-03  1.20000000E-01  2.35275266E-01  1.10447653E-03  1.20000000E-01  2.42786704E-01  9.07161041E-04  1.20000000E-01  2.38342943E-01  1.28017583E-03  1.20000000E-01  2.39723003E-01  1.23280267E-03  1.20000000E-01  2.45359733E-01  1.29613820E-03  1.20000000E-01  2.37358941E-01  1.14822221E-03  1.20000000E-01  2.33957131E-01  1.24999407E-03  1.20000000E-01  2.42960876E-01  1.41396707E-03  1.20000000E-01  2.32956732E-01  1.14245564E-03  1.20000000E-01  2.25091845E-01  1.99530769E-03  1.20000000E-01  2.31333221E-01  1.31940967E-03  1.20000000E-01  2.17665659E-01  1.33448845E-03  1.20000000E-01  2.19235857E-01  1.73423984E-03  1.20000000E-01  1.91371260E-01  2.07766881E-03
  1.50000000E-01  2.38801505E-01  1.33408750E-03  1.50000000E-01  2.55715160E-01  1.01485488E-03  1.50000000E-01  2.56672787E-01  9.06362430E-04  1.50000000E-01  2.36586230E-01  8.29462036E-04  1.50000000E-01  2.30682958E-01  1.18140421E-03  1.50000000E-01  2.33205177E-01  1.19679130E-03  1.50000000E-01  2.29607031E-01  1.00786986E-03  1.50000000E-01  2.36712622E-01  9.83164332E-04  1.50000000E-01  2.32550781E-01  1.03906192E-03  1.50000000E-01  2.34779355E-01  1.24351375E-03  1.50000000E-01  2.40640450E-01  1.16662694E-03  1.50000000E-01  2.32091444E-01  1.09731240E-03  1.50000000E-01  2.28284729E-01  1.19505203E-03  1.50000000E-01  2.36784105E-01  1.18444819E-03  1.50000000E-01  2.26524283E-01  1.10143326E-03  1.50000000E-01  2.19548366E-01  1.88073414E-03  1.50000000E-01  2.25799365E-01  1.26653187E-03  1.50000000E-01  2.13048277E-01  1.37973467E-03  1.50000000E-01  2.13732665E-01  1.73683416E-03  1.50000000E-01  1.86658424E-01  1.95637192E-03
  1.80000000E-01  2.32608146E-01  1.13702085E-03  1.80000000E-01  2.48123167E-01  9.46289759E-04  1.80000000E-01  2.48762356E-01  7.76349101E-04  1.80000000E-01  2.29310784E-01  7.69084518E-04  1.80000000E-01  2.24460952E-01  1.04078521E-03  1.80000000E-01  2.26242211E-01  9.70899332E-04  1.80000000E-01  2.23221356E-01  8.85815730E-04  1.80000000E-01  2.29635471E-01  8.47500854E-04  1.80000000E-01  2.26390434E-01  1.02337873E-03  1.80000000E-01  2.29891812E-01  1.11121552E-03  1.80000000E-01  2.34671995E-01  1.00611291E-03  1.80000000E-01  2.25246560E-01  9.95521910E-04  1.80000000E-01  2.22002225E-01  1.13848244E-03  1.80000000E-01  2.29342773E-01  1.12261352E-03  1.80000000E-01  2.20919927E-01  9.58453449E-04  1.80000000E-01  2.14129775E-01  1.79455829E-03  1.80000000E-01  2.19881814E-01  1.01012611E-03  1.80000000E-01  2.07577986E-01  1.31027925E-03  1.80000000E-01  2.06595511E-01  1.68065953E-03  1.80000000E-01  1.82087148E-01  1.91286627E-03
  2.10000000E-01  2.24405307E-01  1.11151405E-03  2.10000000E-01  2.38857640E-01  8.18622252E-04  2.10000000E-01  2.39995073E-01  7.28999863E-04  2.10000000E-01  2.21799744E-01  7.03325185E-04  2.10000000E-01  2.16559697E-01  9.63672068E-04  2.10000000E-01  2.18383817E-01  9.14734816E-04  2.10000000E-01  2.15938681E-01  8.02012347E-04  2.10000000E-01  2.22200997E-01  8.10793338E-04  2.10000000E-01  2.18795947E-01  8.62999359E-04  2.10000000E-01  2.23375317E-01  1.05549282E-03  2.10000000E-01  2.27219793E-01  9.51713415E-04  2.10000000E-01  2.17612224E-01  9.10065014E-04  2.10000000E-01  2.13749770E-01  1.13756179E-03  2.10000000E-01  2.22061455E-01  1.03155258E-03  2.10000000E-01  2.13697919E-01  8.86246996E-04  2.10000000E-01  2.06300567E-01  1.74294217E-03  2.10000000E-01  2.11771965E-01  9.80147320E-04  2.10000000E-01  2.01188840E-01  1.23349233E-03  2.10000000E-01  1.99827890E-01  1.70109840E-03  2.10000000E-01  1.75963518E-01  1.75397008E-03
  2.40000000E-01  2.15708056E-01  1.10584439E-03  2.40000000E-01  2.29053339E-01  7.24715617E-04  2.40000000E-01  2.29423730E-01  6.74090147E-04  2.40000000E-01  2.13108689E-01  6.39333582E-04  2.40000000E-01  2.09346053E-01  8.46769997E-04  2.40000000E-01  2.09930320E-01  9.01768566E-04  2.40000000E-01  2.06669732E-01  8.28021201E-04  2.40000000E-01  2.13163004E-01  6.70662258E-04  2.40000000E-01  2.09661497E-01  8.48809483E-04  2.40000000E-01  2.14475544E-01  1.00827637E-03  2.40000000E-01  2.19963780E-01  9.23426315E-04  2.40000000E-01  2.09195952E-01  9.02517323E-04  2.40000000E-01  2.06224601E-01  1.01985682E-03  2.40000000E-01  2.13303270E-01  9.80293533E-04  2.40000000E-01  2.05242672E-01  8.00135968E-04  2.40000000E-01  1.98589180E-01  1.65241819E-03  2.40000000E-01  2.04396407E-01  9.70100309E-04  2.40000000E-01  1.93390523E-01  1.24693635E-03  2.40000000E-01  1.91745780E-01  1.51547632E-03  2.40000000E-01  1.69446609E-01  1.72846445E-03
  2.70000000E-01  2.06249211E-01  1.03276884E-03  2.70000000E-01  2.18025272E-01  6.94338497E-04  2.70000000E-01  2.18293593E-01  5.60611047E-04  2.70000000E-01  2.03156216E-01  5.64761992E-04  2.70000000E-01  2.00381858E-01  7.05702061E-04  2.70000000E-01  2.01203345E-01  7.76763710E-04  2.70000000E-01  1.98724704E-01  6.86171562E-04  2.70000000E-01  2.03473712E-01  6.46029939E-04  2.70000000E-01  2.00752507E-01  7.88085455E-04  2.70000000E-01  2.07344018E-01  9.54011543E-04  2.70000000E-01  2.11749035E-01  8.36593187E-04  2.70000000E-01  2.00068379E-01  8.30158193E-04  2.70000000E-01  1.97581464E-01  8.87094628E-04  2.70000000E-01  2.03479138E-01  8.67675876E-04  2.70000000E-01  1.96621813E-01  7.76438301E-04  2.70000000E-01  1.90351250E-01  1.65244769E-03  2.70000000E-01  1.95927607E-01  8.50538701E-04  2.70000000E-01  1.85640007E-01  1.25780728E-03  2.70000000E-01  1.83033683E-01  1.40613697E-03  2.70000000E-01  1.62927436E-01  1.64758098E-03
