#                  N = 30.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.50040863E-01  1.08497027E-03
  3.00000000E-02  2.48502158E-01  1.04631868E-03
  6.00000000E-02  2.46874271E-01  7.87538664E-04
  9.00000000E-02  2.42822890E-01  8.09392238E-04
  1.20000000E-01  2.38004188E-01  7.98980186E-04
  1.50000000E-01  2.32154282E-01  7.17837943E-04
  1.80000000E-01  2.25755766E-01  6.64792067E-04
  2.10000000E-01  2.18092632E-01  5.45278695E-04
  2.40000000E-01  2.09553708E-01  5.31724133E-04
  2.70000000E-01  2.00560673E-01  5.27294264E-04
  3.00000000E-01  1.90424771E-01  4.53561895E-04
  3.30000000E-01  1.80650895E-01  3.68568445E-04
  3.60000000E-01  1.70420006E-01  3.19467686E-04
  3.90000000E-01  1.59494816E-01  2.75218371E-04
  4.20000000E-01  1.48653385E-01  2.52367246E-04
  4.50000000E-01  1.37997063E-01  1.97600986E-04
  4.80000000E-01  1.27374773E-01  1.82483803E-04
  5.10000000E-01  1.17110869E-01  1.53220157E-04
  5.40000000E-01  1.06843951E-01  1.31874277E-04
  5.70000000E-01  9.70151852E-02  1.19558973E-04
  6.00000000E-01  8.75957485E-02  1.19056383E-04
  6.30000000E-01  7.87582770E-02  1.15359685E-04
  6.60000000E-01  7.04987961E-02  1.23416599E-04
  6.90000000E-01  6.25639168E-02  1.15044800E-04
  7.20000000E-01  5.52211622E-02  1.15353308E-04
  7.50000000E-01  4.85579646E-02  1.32559602E-04
  7.80000000E-01  4.24887342E-02  1.19321011E-04
  8.10000000E-01  3.68145068E-02  1.16073005E-04
  8.40000000E-01  3.17895559E-02  1.15071686E-04
  8.70000000E-01  2.73856300E-02  1.08662019E-04
  9.00000000E-01  2.33938760E-02  9.57073659E-05
  9.30000000E-01  1.98259618E-02  9.83845529E-05
  9.60000000E-01  1.67170461E-02  9.01194846E-05
  9.90000000E-01  1.40283447E-02  8.54312392E-05
  1.02000000E+00  1.17136565E-02  7.92321718E-05
  1.05000000E+00  9.65652486E-03  7.00364465E-05
  1.08000000E+00  8.00321844E-03  5.94219071E-05
  1.11000000E+00  6.57321786E-03  5.51008126E-05
  1.14000000E+00  5.37910992E-03  5.04731070E-05
  1.17000000E+00  4.36652612E-03  4.25907027E-05
  1.20000000E+00  3.52068458E-03  3.61780504E-05
  1.23000000E+00  2.81570672E-03  3.38983270E-05
  1.26000000E+00  2.24792502E-03  2.99373348E-05
  1.29000000E+00  1.79894560E-03  2.50025983E-05
  1.32000000E+00  1.40532390E-03  2.08939666E-05
  1.35000000E+00  1.11499089E-03  1.78656272E-05
  1.38000000E+00  8.68091762E-04  1.69389451E-05
  1.41000000E+00  6.86068310E-04  1.37178356E-05
  1.44000000E+00  5.36978225E-04  1.13106575E-05
  1.47000000E+00  4.24250378E-04  9.48274510E-06
  1.50000000E+00  3.36211280E-04  8.64061295E-06
  1.53000000E+00  2.74243080E-04  7.37596027E-06
  1.56000000E+00  2.30753263E-04  6.55504082E-06
  1.59000000E+00  1.93105323E-04  5.42348549E-06
  1.62000000E+00  1.70551189E-04  5.26935431E-06
  1.65000000E+00  1.71729588E-04  4.68424271E-06
  1.68000000E+00  1.77841976E-04  4.99008555E-06
  1.71000000E+00  1.88888643E-04  4.68857404E-06
  1.74000000E+00  2.14521924E-04  4.93024326E-06
