#                  N = 80.00                                       N = 80.00                                       N = 70.00                                       N = 60.00                                       N = 50.00                                       N = 50.00                                       N = 40.00                                       N = 30.00                                       N = 20.00                                       N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  4.00000000E-01  1.13365814E-03  7.25942526E-05  4.00000000E-01  1.19683212E-03  1.18518371E-04  4.00000000E-01  2.68241999E-03  1.72001589E-04  4.00000000E-01  3.39310595E-03  2.33210473E-04  4.00000000E-01  8.98254317E-03  4.59757528E-04  4.00000000E-01  2.78790022E-02  8.15606207E-04  4.00000000E-01  3.61491927E-02  3.28494773E-04  4.00000000E-01  6.05889003E-03  1.10989391E-04  4.00000000E-01  5.03535925E-07  1.82979221E-08  4.00000000E-01  3.33467500E-08  4.30650259E-09
  4.40000000E-01  1.36690775E-03  7.45805191E-05  4.40000000E-01  1.48091192E-03  1.29586166E-04  4.40000000E-01  3.08711950E-03  1.81459098E-04  4.40000000E-01  4.01097491E-03  2.71954098E-04  4.40000000E-01  9.72022225E-03  4.46945240E-04  4.40000000E-01  2.82432044E-02  8.11453538E-04  4.40000000E-01  3.58437724E-02  3.06596853E-04  4.40000000E-01  5.96026704E-03  1.08978671E-04  4.40000000E-01  5.17461158E-07  1.73220797E-08  4.40000000E-01  3.80587907E-08  4.45910426E-09
  4.80000000E-01  1.69595894E-03  8.38304920E-05  4.80000000E-01  1.89288982E-03  1.51849826E-04  4.80000000E-01  3.68096354E-03  1.90581200E-04  4.80000000E-01  4.68703148E-03  2.85177088E-04  4.80000000E-01  1.04981309E-02  4.38955792E-04  4.80000000E-01  2.85205477E-02  7.80519461E-04  4.80000000E-01  3.54643789E-02  2.83692978E-04  4.80000000E-01  5.91019414E-03  1.07829401E-04  4.80000000E-01  5.53222582E-07  1.77939064E-08  4.80000000E-01  3.83245102E-08  4.21580940E-09
  5.20000000E-01  2.10195338E-03  7.97905129E-05  5.20000000E-01  2.34216455E-03  1.62039635E-04  5.20000000E-01  4.32315402E-03  2.00300701E-04  5.20000000E-01  5.42551486E-03  3.08076565E-04  5.20000000E-01  1.14550898E-02  4.14752493E-04  5.20000000E-01  2.88665731E-02  7.29926193E-04  5.20000000E-01  3.51875926E-02  2.71767886E-04  5.20000000E-01  5.84004095E-03  1.04964676E-04  5.20000000E-01  5.96418412E-07  1.78093708E-08  5.20000000E-01  3.90224341E-08  3.82359025E-09
  5.60000000E-01  2.59547150E-03  8.99708404E-05  5.60000000E-01  2.87528031E-03  1.62349936E-04  5.60000000E-01  5.12176934E-03  2.18568955E-04  5.60000000E-01  6.28225112E-03  3.46063207E-04  5.60000000E-01  1.24359917E-02  4.28663251E-04  5.60000000E-01  2.92364279E-02  7.00987092E-04  5.60000000E-01  3.47628138E-02  2.64024626E-04  5.60000000E-01  5.77000371E-03  1.05963080E-04  5.60000000E-01  6.21362850E-07  1.73720348E-08  5.60000000E-01  4.41243360E-08  4.46596116E-09
  6.00000000E-01  3.25959416E-03  1.07929816E-04  6.00000000E-01  3.67994600E-03  2.00649216E-04  6.00000000E-01  5.98611342E-03  2.39771600E-04  6.00000000E-01  7.18518903E-03  3.65879718E-04  6.00000000E-01  1.36610803E-02  4.15603638E-04  6.00000000E-01  2.94303122E-02  6.72785969E-04  6.00000000E-01  3.43457820E-02  2.39223011E-04  6.00000000E-01  5.65230858E-03  1.04450372E-04  6.00000000E-01  6.73995513E-07  1.73746757E-08  6.00000000E-01  4.85679277E-08  4.27558816E-09
  6.40000000E-01  3.97897990E-03  1.19935195E-04  6.40000000E-01  4.46000639E-03  2.28875636E-04  6.40000000E-01  7.00217584E-03  2.42249399E-04  6.40000000E-01  8.32899217E-03  3.90286226E-04  6.40000000E-01  1.48527966E-02  4.04084258E-04  6.40000000E-01  2.99016051E-02  6.33017669E-04  6.40000000E-01  3.36883252E-02  2.27752535E-04  6.40000000E-01  5.57308873E-03  1.03294866E-04  6.40000000E-01  7.23528018E-07  1.75622571E-08  6.40000000E-01  5.33410204E-08  4.41620325E-09
  6.80000000E-01  4.79870171E-03  1.24713982E-04  6.80000000E-01  5.37034000E-03  2.37406424E-04  6.80000000E-01  8.11633047E-03  2.63959179E-04  6.80000000E-01  9.66951558E-03  4.09154684E-04  6.80000000E-01  1.63022287E-02  3.98913711E-04  6.80000000E-01  3.02882360E-02  5.73576975E-04  6.80000000E-01  3.31165765E-02  2.06667255E-04  6.80000000E-01  5.47097745E-03  9.99907686E-05  6.80000000E-01  7.89317572E-07  1.84020622E-08  6.80000000E-01  4.97472880E-08  3.75153666E-09
  7.20000000E-01  5.90563474E-03  1.38344252E-04  7.20000000E-01  6.60390762E-03  2.75805234E-04  7.20000000E-01  9.37125183E-03  2.75851344E-04  7.20000000E-01  1.11580672E-02  4.40241055E-04  7.20000000E-01  1.78100831E-02  3.81290040E-04  7.20000000E-01  3.05575477E-02  5.31196410E-04  7.20000000E-01  3.26675553E-02  1.98972226E-04  7.20000000E-01  5.34675348E-03  9.80304768E-05  7.20000000E-01  8.58576396E-07  1.79038651E-08  7.20000000E-01  5.33384134E-08  4.01743582E-09
  7.60000000E-01  7.12983558E-03  1.50637464E-04  7.60000000E-01  8.00226069E-03  2.93132508E-04  7.60000000E-01  1.10101811E-02  2.86703599E-04  7.60000000E-01  1.26867757E-02  4.45613772E-04  7.60000000E-01  1.95738442E-02  3.68379802E-04  7.60000000E-01  3.09587087E-02  4.81595326E-04  7.60000000E-01  3.18911010E-02  1.89384639E-04  7.60000000E-01  5.23280267E-03  9.56360467E-05  7.60000000E-01  9.29138396E-07  1.89392393E-08  7.60000000E-01  6.25193264E-08  4.06743466E-09
  8.00000000E-01  8.66155899E-03  1.81682586E-04  8.00000000E-01  9.59804628E-03  3.23256844E-04  8.00000000E-01  1.28153881E-02  3.03985008E-04  8.00000000E-01  1.43768974E-02  4.84141194E-04  8.00000000E-01  2.12083135E-02  3.48867300E-04  8.00000000E-01  3.13218149E-02  4.34916136E-04  8.00000000E-01  3.13213584E-02  1.73651792E-04  8.00000000E-01  5.10924985E-03  9.37568247E-05  8.00000000E-01  1.01168198E-06  1.94590258E-08  8.00000000E-01  6.50594353E-08  4.11695086E-09
  8.40000000E-01  1.01672890E-02  1.83774390E-04  8.40000000E-01  1.13580639E-02  3.20035040E-04  8.40000000E-01  1.46757156E-02  3.32080072E-04  8.40000000E-01  1.64627316E-02  5.23654861E-04  8.40000000E-01  2.29138241E-02  3.21366668E-04  8.40000000E-01  3.15712826E-02  3.69402724E-04  8.40000000E-01  3.06100094E-02  1.73139358E-04  8.40000000E-01  4.99309990E-03  9.09371607E-05  8.40000000E-01  1.12378195E-06  2.00040126E-08  8.40000000E-01  7.21749161E-08  4.08329544E-09
  8.80000000E-01  1.22455113E-02  2.10400892E-04  8.80000000E-01  1.35113508E-02  3.30683848E-04  8.80000000E-01  1.67441307E-02  3.27771294E-04  8.80000000E-01  1.85917587E-02  5.34221792E-04  8.80000000E-01  2.48615621E-02  3.19977062E-04  8.80000000E-01  3.16775774E-02  3.09137014E-04  8.80000000E-01  2.98736396E-02  1.67374218E-04  8.80000000E-01  4.84017361E-03  8.89295754E-05  8.80000000E-01  1.22330026E-06  2.18389096E-08  8.80000000E-01  8.25483639E-08  4.19332850E-09
  9.20000000E-01  1.42297083E-02  1.83068609E-04  9.20000000E-01  1.59205790E-02  3.47978415E-04  9.20000000E-01  1.91042716E-02  3.29334905E-04  9.20000000E-01  2.08464550E-02  5.57207149E-04  9.20000000E-01  2.68245272E-02  2.94187908E-04  9.20000000E-01  3.20740250E-02  2.42712568E-04  9.20000000E-01  2.90351366E-02  1.62565387E-04  9.20000000E-01  4.70387043E-03  8.55924458E-05  9.20000000E-01  1.32186646E-06  2.22501518E-08  9.20000000E-01  8.56050417E-08  4.09850614E-09
  9.60000000E-01  1.65615040E-02  2.19492491E-04  9.60000000E-01  1.85295472E-02  3.39177040E-04  9.60000000E-01  2.18323615E-02  3.34450555E-04  9.60000000E-01  2.33055162E-02  5.85350183E-04  9.60000000E-01  2.87945419E-02  2.91705029E-04  9.60000000E-01  3.21887831E-02  2.00427691E-04  9.60000000E-01  2.82370830E-02  1.52942380E-04  9.60000000E-01  4.54695345E-03  8.37956801E-05  9.60000000E-01  1.49280841E-06  2.15161388E-08  9.60000000E-01  9.97804053E-08  4.41631695E-09
  1.00000000E+00  1.93370842E-02  2.18377532E-04  1.00000000E+00  2.14278007E-02  3.28472290E-04  1.00000000E+00  2.43815156E-02  3.24018476E-04  1.00000000E+00  2.58170752E-02  5.73819942E-04  1.00000000E+00  3.07455958E-02  2.57866755E-04  1.00000000E+00  3.24575689E-02  1.85006596E-04  1.00000000E+00  2.73616035E-02  1.65787933E-04  1.00000000E+00  4.40234806E-03  8.09516545E-05  1.00000000E+00  1.63342903E-06  2.47734852E-08  1.00000000E+00  1.05416745E-07  4.46132790E-09
  1.04000000E+00  2.22022966E-02  2.20532404E-04  1.04000000E+00  2.47612611E-02  3.07318423E-04  1.04000000E+00  2.74227941E-02  3.24232659E-04  1.04000000E+00  2.85836658E-02  5.62637165E-04  1.04000000E+00  3.28436178E-02  2.55860423E-04  1.04000000E+00  3.25556510E-02  1.87119819E-04  1.04000000E+00  2.65432959E-02  1.47913075E-04  1.04000000E+00  4.24419000E-03  7.69561729E-05  1.04000000E+00  1.81472670E-06  2.30147104E-08  1.04000000E+00  1.18135009E-07  4.74315658E-09
  1.08000000E+00  2.53255511E-02  2.15768043E-04  1.08000000E+00  2.81208832E-02  2.89010599E-04  1.08000000E+00  3.03578060E-02  3.22708946E-04  1.08000000E+00  3.14803328E-02  5.75205610E-04  1.08000000E+00  3.49845057E-02  2.22957804E-04  1.08000000E+00  3.26744154E-02  2.22331168E-04  1.08000000E+00  2.55181857E-02  1.64800687E-04  1.08000000E+00  4.09523762E-03  7.39318531E-05  1.08000000E+00  2.02271464E-06  2.68529431E-08  1.08000000E+00  1.25934966E-07  4.74686004E-09
  1.12000000E+00  2.88746123E-02  2.22962315E-04  1.12000000E+00  3.17953526E-02  2.59886244E-04  1.12000000E+00  3.35459866E-02  3.05246193E-04  1.12000000E+00  3.42051671E-02  5.59965540E-04  1.12000000E+00  3.68417761E-02  2.34421820E-04  1.12000000E+00  3.24662678E-02  2.68174105E-04  1.12000000E+00  2.45447743E-02  1.53886963E-04  1.12000000E+00  3.93106871E-03  7.14531091E-05  1.12000000E+00  2.26809755E-06  2.70839695E-08  1.12000000E+00  1.43797887E-07  4.96229825E-09
  1.16000000E+00  3.24325414E-02  2.33317421E-04  1.16000000E+00  3.57247111E-02  2.45728703E-04  1.16000000E+00  3.66321914E-02  3.05158520E-04  1.16000000E+00  3.69810331E-02  5.57478652E-04  1.16000000E+00  3.87498365E-02  2.27404539E-04  1.16000000E+00  3.23728546E-02  3.12135701E-04  1.16000000E+00  2.35500369E-02  1.72897615E-04  1.16000000E+00  3.77363677E-03  6.62059087E-05  1.16000000E+00  2.48260131E-06  3.01550972E-08  1.16000000E+00  1.54461221E-07  5.02307464E-09
  1.20000000E+00  3.62432600E-02  2.36822104E-04  1.20000000E+00  3.98600252E-02  2.24551481E-04  1.20000000E+00  4.01435243E-02  3.21948229E-04  1.20000000E+00  4.00762562E-02  5.08989122E-04  1.20000000E+00  4.05767814E-02  2.23789126E-04  1.20000000E+00  3.21610898E-02  3.74790318E-04  1.20000000E+00  2.25220629E-02  1.72719979E-04  1.20000000E+00  3.62299524E-03  6.33791337E-05  1.20000000E+00  2.77581875E-06  2.77615362E-08  1.20000000E+00  1.80810452E-07  5.30764959E-09
  1.24000000E+00  4.01440861E-02  2.27281132E-04  1.24000000E+00  4.39486633E-02  2.29401416E-04  1.24000000E+00  4.36174408E-02  3.25363660E-04  1.24000000E+00  4.28819660E-02  4.84034770E-04  1.24000000E+00  4.22324336E-02  2.69547765E-04  1.24000000E+00  3.17134031E-02  4.47607822E-04  1.24000000E+00  2.14935381E-02  1.68845557E-04  1.24000000E+00  3.46632013E-03  6.01989827E-05  1.24000000E+00  3.10720975E-06  2.79132429E-08  1.24000000E+00  1.93815353E-07  5.63299717E-09
