#                   u = 0.10                                        u = 0.20                                        u = 0.30                                        u = 0.40                                        u = 0.50                                        u = 0.70                                        u = 0.90                                        u = 1.10                                        u = 1.30                                        u = 1.50                                        u = 1.90                                        u = 2.10                                        u = 2.50                                        u = 2.50                                        u = 2.80                                       u = -0.10                                       u = -0.20                                       u = -0.30                                       u = -0.40                                       u = -0.50                                       u = -0.60                                       u = -0.70                                       u = -0.80                                       u = -0.90                                       u = -1.00                                       u = -1.10                                       u = -1.20                                       u = -1.30                                       u = -1.40                                       u = -1.50                                       u = -1.60                                       u = -1.70                                       u = -1.80                                       u = -1.90                                       u = -2.00                                       u = -2.10                                       u = -2.20                                       u = -2.30                                       u = -2.40                                       u = -2.50                                       u = -2.60                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  1.56000000E+00  7.02792278E-03  1.33168864E-04  1.56000000E+00  6.93431243E-03  1.25071897E-04  1.56000000E+00  6.56973101E-03  1.02847393E-04  1.56000000E+00  6.45808458E-03  1.03528378E-04  1.56000000E+00  6.29190842E-03  1.23553005E-04  1.56000000E+00  6.12369153E-03  9.93097698E-05  1.56000000E+00  6.17930545E-03  8.53697158E-05  1.56000000E+00  5.80206601E-03  6.70015236E-05  1.56000000E+00  5.81639921E-03  9.16785786E-05  1.56000000E+00  5.57919828E-03  5.90600723E-05  1.56000000E+00  5.28975010E-03  4.77496261E-05  1.56000000E+00  5.29121102E-03  6.16613118E-05  1.56000000E+00  5.17938186E-03  1.02082102E-04  1.56000000E+00  5.18198315E-03  5.13577292E-05  1.56000000E+00  5.01156117E-03  4.79227981E-05  1.56000000E+00  7.52672346E-03  1.20095628E-04  1.56000000E+00  7.62130069E-03  1.11409717E-04  1.56000000E+00  8.08001622E-03  1.22404105E-04  1.56000000E+00  8.32012861E-03  1.12753470E-04  1.56000000E+00  8.17539173E-03  1.25842854E-04  1.56000000E+00  8.69408203E-03  9.74533424E-05  1.56000000E+00  8.99428176E-03  1.07509660E-04  1.56000000E+00  9.41641677E-03  1.13976867E-04  1.56000000E+00  9.61858645E-03  1.02916290E-04  1.56000000E+00  1.00144978E-02  1.07522832E-04  1.56000000E+00  9.88820676E-03  1.10116789E-04  1.56000000E+00  1.03931862E-02  1.07214431E-04  1.56000000E+00  1.07223604E-02  9.19006025E-05  1.56000000E+00  1.09285326E-02  9.51215107E-05  1.56000000E+00  1.12005242E-02  9.04899805E-05  1.56000000E+00  1.16818270E-02  7.90385453E-05  1.56000000E+00  1.20340847E-02  7.87441201E-05  1.56000000E+00  1.20923261E-02  6.88005094E-05  1.56000000E+00  1.24130956E-02  6.74750003E-05  1.56000000E+00  1.27127109E-02  7.95334948E-05  1.56000000E+00  1.28061541E-02  6.59080086E-05  1.56000000E+00  1.32136431E-02  5.75647091E-05  1.56000000E+00  1.33824526E-02  6.70063126E-05  1.56000000E+00  1.35964133E-02  6.80394056E-05  1.56000000E+00  1.38906128E-02  6.56296012E-05  1.56000000E+00  1.41825512E-02  6.52952445E-05
  1.60000000E+00  6.72392280E-03  1.38553218E-04  1.60000000E+00  6.63467620E-03  1.29999274E-04  1.60000000E+00  6.25828490E-03  1.06517477E-04  1.60000000E+00  6.13866466E-03  1.06064617E-04  1.60000000E+00  5.95759850E-03  1.27070401E-04  1.60000000E+00  5.78728677E-03  1.03402697E-04  1.60000000E+00  5.84442220E-03  8.86051372E-05  1.60000000E+00  5.45512918E-03  6.92037063E-05  1.60000000E+00  5.46850588E-03  9.16954962E-05  1.60000000E+00  5.22149865E-03  6.13646968E-05  1.60000000E+00  4.94142933E-03  4.88773984E-05  1.60000000E+00  4.94536117E-03  6.19808356E-05  1.60000000E+00  4.84544614E-03  1.03906964E-04  1.60000000E+00  4.83089658E-03  5.15838394E-05  1.60000000E+00  4.65283858E-03  4.83123931E-05  1.60000000E+00  7.23394695E-03  1.25927991E-04  1.60000000E+00  7.33407421E-03  1.16680999E-04  1.60000000E+00  7.81097609E-03  1.27599543E-04  1.60000000E+00  8.05817776E-03  1.18112752E-04  1.60000000E+00  7.91731915E-03  1.30256660E-04  1.60000000E+00  8.46477935E-03  1.02931007E-04  1.60000000E+00  8.76191505E-03  1.11974228E-04  1.60000000E+00  9.20727675E-03  1.18379441E-04  1.60000000E+00  9.41090802E-03  1.07861361E-04  1.60000000E+00  9.82481460E-03  1.14040920E-04  1.60000000E+00  9.69357086E-03  1.14565921E-04  1.60000000E+00  1.02188425E-02  1.12988300E-04  1.60000000E+00  1.05771009E-02  9.54107128E-05  1.60000000E+00  1.07904659E-02  9.92454740E-05  1.60000000E+00  1.10702070E-02  9.35996541E-05  1.60000000E+00  1.15615110E-02  8.29940025E-05  1.60000000E+00  1.19266133E-02  8.08973053E-05  1.60000000E+00  1.19940762E-02  7.16484782E-05  1.60000000E+00  1.23340286E-02  7.02243623E-05  1.60000000E+00  1.26624787E-02  8.42734507E-05  1.60000000E+00  1.27447554E-02  6.85239510E-05  1.60000000E+00  1.31780101E-02  6.05322197E-05  1.60000000E+00  1.33512427E-02  6.93188968E-05  1.60000000E+00  1.35842577E-02  6.99082353E-05  1.60000000E+00  1.38756121E-02  6.69575240E-05  1.60000000E+00  1.41946880E-02  6.71892548E-05
  1.64000000E+00  6.52073551E-03  1.42484349E-04  1.64000000E+00  6.44557592E-03  1.34634520E-04  1.64000000E+00  6.03377375E-03  1.09732036E-04  1.64000000E+00  5.92219735E-03  1.09153482E-04  1.64000000E+00  5.72929448E-03  1.31458636E-04  1.64000000E+00  5.56391259E-03  1.06532496E-04  1.64000000E+00  5.63306870E-03  9.06431080E-05  1.64000000E+00  5.21621485E-03  7.00117509E-05  1.64000000E+00  5.24047318E-03  9.43027762E-05  1.64000000E+00  4.98551220E-03  6.20709604E-05  1.64000000E+00  4.70433762E-03  4.95072125E-05  1.64000000E+00  4.70317922E-03  6.15624615E-05  1.64000000E+00  4.61494457E-03  1.07201315E-04  1.64000000E+00  4.59604193E-03  5.23638266E-05  1.64000000E+00  4.41403271E-03  4.89459422E-05  1.64000000E+00  7.04550126E-03  1.32473225E-04  1.64000000E+00  7.13926454E-03  1.20532790E-04  1.64000000E+00  7.65069054E-03  1.31298994E-04  1.64000000E+00  7.89478301E-03  1.21622005E-04  1.64000000E+00  7.75140036E-03  1.33376430E-04  1.64000000E+00  8.30955934E-03  1.06724344E-04  1.64000000E+00  8.62245616E-03  1.16956947E-04  1.64000000E+00  9.08273725E-03  1.22898770E-04  1.64000000E+00  9.29772907E-03  1.12308911E-04  1.64000000E+00  9.73191581E-03  1.17361133E-04  1.64000000E+00  9.59633376E-03  1.19337193E-04  1.64000000E+00  1.01266756E-02  1.17234429E-04  1.64000000E+00  1.05035123E-02  9.82462437E-05  1.64000000E+00  1.07234435E-02  1.02579882E-04  1.64000000E+00  1.10119247E-02  9.61715320E-05  1.64000000E+00  1.15206530E-02  8.39683343E-05  1.64000000E+00  1.19020346E-02  8.49093796E-05  1.64000000E+00  1.19698492E-02  7.37069566E-05  1.64000000E+00  1.23198607E-02  7.44881386E-05  1.64000000E+00  1.26484322E-02  8.67723822E-05  1.64000000E+00  1.27489507E-02  7.14103828E-05  1.64000000E+00  1.31832050E-02  6.27289600E-05  1.64000000E+00  1.33824113E-02  7.11306504E-05  1.64000000E+00  1.36130764E-02  7.26397163E-05  1.64000000E+00  1.39254238E-02  6.85567558E-05  1.64000000E+00  1.42582387E-02  7.02004405E-05
  1.68000000E+00  6.38798722E-03  1.46177221E-04  1.68000000E+00  6.34643843E-03  1.37296566E-04  1.68000000E+00  5.92641274E-03  1.11033709E-04  1.68000000E+00  5.80448285E-03  1.11588078E-04  1.68000000E+00  5.61165654E-03  1.34737424E-04  1.68000000E+00  5.42870287E-03  1.08716748E-04  1.68000000E+00  5.50747907E-03  9.37810100E-05  1.68000000E+00  5.08740782E-03  7.09030196E-05  1.68000000E+00  5.11594960E-03  9.43144606E-05  1.68000000E+00  4.84674430E-03  6.33098451E-05  1.68000000E+00  4.56278875E-03  5.03062168E-05  1.68000000E+00  4.56050726E-03  6.33606784E-05  1.68000000E+00  4.49660913E-03  1.12799619E-04  1.68000000E+00  4.45836483E-03  5.30329623E-05  1.68000000E+00  4.27967071E-03  4.85613011E-05  1.68000000E+00  6.95783484E-03  1.35561801E-04  1.68000000E+00  7.04259467E-03  1.22000675E-04  1.68000000E+00  7.57436635E-03  1.35045987E-04  1.68000000E+00  7.83015730E-03  1.25562503E-04  1.68000000E+00  7.67759505E-03  1.35922379E-04  1.68000000E+00  8.24803163E-03  1.09997616E-04  1.68000000E+00  8.55991960E-03  1.19693346E-04  1.68000000E+00  9.04619267E-03  1.26809716E-04  1.68000000E+00  9.26519125E-03  1.14380982E-04  1.68000000E+00  9.70534307E-03  1.19904463E-04  1.68000000E+00  9.56169760E-03  1.22206873E-04  1.68000000E+00  1.01225861E-02  1.20001202E-04  1.68000000E+00  1.05068814E-02  1.01416744E-04  1.68000000E+00  1.07247139E-02  1.04999216E-04  1.68000000E+00  1.10189910E-02  9.93011913E-05  1.68000000E+00  1.15341682E-02  8.55217877E-05  1.68000000E+00  1.19407219E-02  8.69520185E-05  1.68000000E+00  1.20183497E-02  7.50774936E-05  1.68000000E+00  1.23627072E-02  7.46583935E-05  1.68000000E+00  1.27019485E-02  8.84065573E-05  1.68000000E+00  1.28097204E-02  7.33874064E-05  1.68000000E+00  1.32463226E-02  6.43610496E-05  1.68000000E+00  1.34678822E-02  7.21193305E-05  1.68000000E+00  1.36947447E-02  7.47179260E-05  1.68000000E+00  1.40141693E-02  7.02017382E-05  1.68000000E+00  1.43645220E-02  7.36930444E-05
  1.72000000E+00  6.38169735E-03  1.48746163E-04  1.72000000E+00  6.34029282E-03  1.39742407E-04  1.72000000E+00  5.89411280E-03  1.14345492E-04  1.72000000E+00  5.77868006E-03  1.14348361E-04  1.72000000E+00  5.57851661E-03  1.36808100E-04  1.72000000E+00  5.40828551E-03  1.10918364E-04  1.72000000E+00  5.48186851E-03  9.50583920E-05  1.72000000E+00  5.04898860E-03  7.21617177E-05  1.72000000E+00  5.08022733E-03  9.50312604E-05  1.72000000E+00  4.80849465E-03  6.37834495E-05  1.72000000E+00  4.52394818E-03  5.08523053E-05  1.72000000E+00  4.51814628E-03  6.35199554E-05  1.72000000E+00  4.46566189E-03  1.13253629E-04  1.72000000E+00  4.42376089E-03  5.39039578E-05  1.72000000E+00  4.24535270E-03  4.89677586E-05  1.72000000E+00  6.95778536E-03  1.39530415E-04  1.72000000E+00  7.04841342E-03  1.26167077E-04  1.72000000E+00  7.57949184E-03  1.38829468E-04  1.72000000E+00  7.83905818E-03  1.27690684E-04  1.72000000E+00  7.67738636E-03  1.39824865E-04  1.72000000E+00  8.26460971E-03  1.12293514E-04  1.72000000E+00  8.58504728E-03  1.22294860E-04  1.72000000E+00  9.07951679E-03  1.29417015E-04  1.72000000E+00  9.30788619E-03  1.17248128E-04  1.72000000E+00  9.74860472E-03  1.22196850E-04  1.72000000E+00  9.61313213E-03  1.25299147E-04  1.72000000E+00  1.01762469E-02  1.23471685E-04  1.72000000E+00  1.05815983E-02  1.03850815E-04  1.72000000E+00  1.07937532E-02  1.06724745E-04  1.72000000E+00  1.10920500E-02  1.03380165E-04  1.72000000E+00  1.16219053E-02  8.66055400E-05  1.72000000E+00  1.20394882E-02  8.87627157E-05  1.72000000E+00  1.21240928E-02  7.75141698E-05  1.72000000E+00  1.24866307E-02  7.55575143E-05  1.72000000E+00  1.28315722E-02  8.96841598E-05  1.72000000E+00  1.29391985E-02  7.53037268E-05  1.72000000E+00  1.33710129E-02  6.58500945E-05  1.72000000E+00  1.36104755E-02  7.51696200E-05  1.72000000E+00  1.38446382E-02  7.61522532E-05  1.72000000E+00  1.41688365E-02  7.21953822E-05  1.72000000E+00  1.45225018E-02  7.28844192E-05
  1.76000000E+00  6.45697116E-03  1.51782767E-04  1.76000000E+00  6.42127688E-03  1.42453366E-04  1.76000000E+00  5.96475439E-03  1.15997874E-04  1.76000000E+00  5.84214064E-03  1.16460163E-04  1.76000000E+00  5.64854353E-03  1.38822156E-04  1.76000000E+00  5.46892402E-03  1.11539446E-04  1.76000000E+00  5.54413180E-03  9.62614591E-05  1.76000000E+00  5.10589693E-03  7.25004123E-05  1.76000000E+00  5.14951632E-03  9.43723610E-05  1.76000000E+00  4.86898276E-03  6.48008561E-05  1.76000000E+00  4.58311405E-03  5.08790877E-05  1.76000000E+00  4.58328865E-03  6.31725536E-05  1.76000000E+00  4.51105243E-03  1.13567654E-04  1.76000000E+00  4.47842189E-03  5.38775780E-05  1.76000000E+00  4.29956940E-03  4.94266198E-05  1.76000000E+00  7.04356639E-03  1.42090051E-04  1.76000000E+00  7.13202807E-03  1.27892495E-04  1.76000000E+00  7.68249757E-03  1.40594978E-04  1.76000000E+00  7.93562827E-03  1.30727188E-04  1.76000000E+00  7.78222438E-03  1.41077448E-04  1.76000000E+00  8.37991366E-03  1.15989039E-04  1.76000000E+00  8.69168585E-03  1.23585563E-04  1.76000000E+00  9.20024661E-03  1.33370586E-04  1.76000000E+00  9.43258928E-03  1.19245699E-04  1.76000000E+00  9.88157314E-03  1.24319806E-04  1.76000000E+00  9.73804206E-03  1.27833246E-04  1.76000000E+00  1.03063650E-02  1.25237967E-04  1.76000000E+00  1.07143640E-02  1.04345481E-04  1.76000000E+00  1.09368956E-02  1.09448224E-04  1.76000000E+00  1.12345616E-02  1.05111054E-04  1.76000000E+00  1.17720858E-02  8.70406605E-05  1.76000000E+00  1.21939761E-02  9.10164603E-05  1.76000000E+00  1.22833616E-02  7.77629518E-05  1.76000000E+00  1.26455313E-02  7.76445481E-05  1.76000000E+00  1.30108943E-02  8.89615042E-05  1.76000000E+00  1.31134650E-02  7.65861024E-05  1.76000000E+00  1.35493677E-02  6.66429896E-05  1.76000000E+00  1.38010221E-02  7.51695187E-05  1.76000000E+00  1.40335465E-02  7.69991881E-05  1.76000000E+00  1.43549096E-02  7.28749530E-05  1.76000000E+00  1.47228767E-02  7.42709892E-05
  1.80000000E+00  6.60715841E-03  1.54254461E-04  1.80000000E+00  6.58548103E-03  1.44482095E-04  1.80000000E+00  6.11691404E-03  1.16518234E-04  1.80000000E+00  6.00475841E-03  1.16621255E-04  1.80000000E+00  5.79798845E-03  1.39393766E-04  1.80000000E+00  5.61381327E-03  1.12996818E-04  1.80000000E+00  5.69959060E-03  9.74286377E-05  1.80000000E+00  5.25945706E-03  7.39158194E-05  1.80000000E+00  5.30216256E-03  9.35016182E-05  1.80000000E+00  5.01773799E-03  6.41981810E-05  1.80000000E+00  4.72653091E-03  5.09967828E-05  1.80000000E+00  4.73352174E-03  6.44057862E-05  1.80000000E+00  4.68639933E-03  1.16324036E-04  1.80000000E+00  4.63406621E-03  5.42979085E-05  1.80000000E+00  4.45788200E-03  4.91286513E-05  1.80000000E+00  7.20927530E-03  1.44135196E-04  1.80000000E+00  7.30380344E-03  1.29122608E-04  1.80000000E+00  7.85749232E-03  1.41943687E-04  1.80000000E+00  8.11236135E-03  1.32797699E-04  1.80000000E+00  7.95246287E-03  1.42438696E-04  1.80000000E+00  8.55302716E-03  1.16287076E-04  1.80000000E+00  8.86955953E-03  1.24453199E-04  1.80000000E+00  9.38441143E-03  1.34408681E-04  1.80000000E+00  9.62149767E-03  1.19223011E-04  1.80000000E+00  1.00868302E-02  1.24840702E-04  1.80000000E+00  9.92427283E-03  1.29025899E-04  1.80000000E+00  1.05110181E-02  1.27381213E-04  1.80000000E+00  1.09203969E-02  1.05682292E-04  1.80000000E+00  1.11436138E-02  1.09327512E-04  1.80000000E+00  1.14418567E-02  1.04875826E-04  1.80000000E+00  1.19830746E-02  8.71109738E-05  1.80000000E+00  1.24089226E-02  9.04392181E-05  1.80000000E+00  1.25038998E-02  7.81548114E-05  1.80000000E+00  1.28712981E-02  7.85410498E-05  1.80000000E+00  1.32299168E-02  8.94020527E-05  1.80000000E+00  1.33331331E-02  7.78107637E-05  1.80000000E+00  1.37826547E-02  6.74951573E-05  1.80000000E+00  1.40443191E-02  7.78718061E-05  1.80000000E+00  1.42706160E-02  7.73494552E-05  1.80000000E+00  1.46074473E-02  7.32515861E-05  1.80000000E+00  1.49677058E-02  7.51570886E-05
  1.84000000E+00  6.85766059E-03  1.54413052E-04  1.84000000E+00  6.83933937E-03  1.45514813E-04  1.84000000E+00  6.36678961E-03  1.17420049E-04  1.84000000E+00  6.23843068E-03  1.18217942E-04  1.84000000E+00  6.04469151E-03  1.41361119E-04  1.84000000E+00  5.86463414E-03  1.13465150E-04  1.84000000E+00  5.95367250E-03  9.79765180E-05  1.84000000E+00  5.50376388E-03  7.36031246E-05  1.84000000E+00  5.54074874E-03  9.28771960E-05  1.84000000E+00  5.25761510E-03  6.52989303E-05  1.84000000E+00  4.96628618E-03  5.15285248E-05  1.84000000E+00  4.97527361E-03  6.26872162E-05  1.84000000E+00  4.90922077E-03  1.16635574E-04  1.84000000E+00  4.87616699E-03  5.45309280E-05  1.84000000E+00  4.69650721E-03  4.92828447E-05  1.84000000E+00  7.46680804E-03  1.45418443E-04  1.84000000E+00  7.54972125E-03  1.29931194E-04  1.84000000E+00  8.11166706E-03  1.42864337E-04  1.84000000E+00  8.36689255E-03  1.33294911E-04  1.84000000E+00  8.20513071E-03  1.42519751E-04  1.84000000E+00  8.82008203E-03  1.18837516E-04  1.84000000E+00  9.12363123E-03  1.26227444E-04  1.84000000E+00  9.65640958E-03  1.34934126E-04  1.84000000E+00  9.88775223E-03  1.19532347E-04  1.84000000E+00  1.03444397E-02  1.24967045E-04  1.84000000E+00  1.02022568E-02  1.30190461E-04  1.84000000E+00  1.07753034E-02  1.28134786E-04  1.84000000E+00  1.11942915E-02  1.06557739E-04  1.84000000E+00  1.14174018E-02  1.11093156E-04  1.84000000E+00  1.17053693E-02  1.06820191E-04  1.84000000E+00  1.22601432E-02  8.77869753E-05  1.84000000E+00  1.26901801E-02  9.14923058E-05  1.84000000E+00  1.27852718E-02  7.79216361E-05  1.84000000E+00  1.31589800E-02  7.96162712E-05  1.84000000E+00  1.35129230E-02  9.09019511E-05  1.84000000E+00  1.36185308E-02  7.82200751E-05  1.84000000E+00  1.40679572E-02  6.79272647E-05  1.84000000E+00  1.43313423E-02  7.71936685E-05  1.84000000E+00  1.45510576E-02  7.73655946E-05  1.84000000E+00  1.48972213E-02  7.24315033E-05  1.84000000E+00  1.52624976E-02  7.60539151E-05
  1.88000000E+00  7.18643970E-03  1.55347778E-04  1.88000000E+00  7.16685716E-03  1.47138629E-04  1.88000000E+00  6.69728795E-03  1.16714923E-04  1.88000000E+00  6.57574542E-03  1.19494633E-04  1.88000000E+00  6.37206556E-03  1.38849148E-04  1.88000000E+00  6.20329654E-03  1.13688506E-04  1.88000000E+00  6.28443956E-03  9.86992943E-05  1.88000000E+00  5.83621595E-03  7.40054455E-05  1.88000000E+00  5.87834715E-03  9.39425080E-05  1.88000000E+00  5.59089382E-03  6.37830066E-05  1.88000000E+00  5.29734054E-03  5.12015718E-05  1.88000000E+00  5.30931281E-03  6.35495545E-05  1.88000000E+00  5.25515922E-03  1.17924836E-04  1.88000000E+00  5.20720510E-03  5.46871999E-05  1.88000000E+00  5.03645338E-03  4.93514057E-05  1.88000000E+00  7.80609164E-03  1.45985610E-04  1.88000000E+00  7.89325951E-03  1.29970797E-04  1.88000000E+00  8.45533119E-03  1.43952595E-04  1.88000000E+00  8.69787356E-03  1.34204330E-04  1.88000000E+00  8.53829524E-03  1.42732962E-04  1.88000000E+00  9.14751360E-03  1.18835895E-04  1.88000000E+00  9.45114540E-03  1.25492316E-04  1.88000000E+00  9.99074495E-03  1.36215718E-04  1.88000000E+00  1.02218343E-02  1.21302245E-04  1.88000000E+00  1.06803436E-02  1.24985036E-04  1.88000000E+00  1.05317034E-02  1.30350107E-04  1.88000000E+00  1.11168233E-02  1.30082004E-04  1.88000000E+00  1.15333434E-02  1.05961999E-04  1.88000000E+00  1.17531236E-02  1.12539012E-04  1.88000000E+00  1.20484425E-02  1.07203727E-04  1.88000000E+00  1.25864836E-02  8.72305234E-05  1.88000000E+00  1.30225861E-02  9.26161561E-05  1.88000000E+00  1.31299130E-02  7.73362859E-05  1.88000000E+00  1.34965084E-02  7.85783896E-05  1.88000000E+00  1.38554716E-02  8.97449272E-05  1.88000000E+00  1.39636726E-02  7.78165215E-05  1.88000000E+00  1.43894645E-02  6.79652166E-05  1.88000000E+00  1.46674941E-02  7.77863886E-05  1.88000000E+00  1.48815481E-02  7.70898323E-05  1.88000000E+00  1.52207823E-02  7.21764759E-05  1.88000000E+00  1.55964343E-02  7.53113706E-05
  1.92000000E+00  7.61516715E-03  1.56659854E-04  1.92000000E+00  7.60247726E-03  1.45484080E-04  1.92000000E+00  7.11626324E-03  1.16059571E-04  1.92000000E+00  6.99427597E-03  1.19177196E-04  1.92000000E+00  6.78820393E-03  1.40897458E-04  1.92000000E+00  6.61906976E-03  1.12879144E-04  1.92000000E+00  6.70531991E-03  9.86887056E-05  1.92000000E+00  6.25609003E-03  7.35099191E-05  1.92000000E+00  6.29938765E-03  9.15532383E-05  1.92000000E+00  6.01094763E-03  6.36661527E-05  1.92000000E+00  5.72506841E-03  5.19896414E-05  1.92000000E+00  5.73948873E-03  6.36725411E-05  1.92000000E+00  5.70176514E-03  1.19631729E-04  1.92000000E+00  5.64414907E-03  5.42524544E-05  1.92000000E+00  5.45878749E-03  4.97520656E-05  1.92000000E+00  8.21930360E-03  1.46271782E-04  1.92000000E+00  8.30942006E-03  1.30952203E-04  1.92000000E+00  8.87388450E-03  1.43817489E-04  1.92000000E+00  9.11695136E-03  1.34295368E-04  1.92000000E+00  8.95079707E-03  1.42693795E-04  1.92000000E+00  9.56432397E-03  1.18795779E-04  1.92000000E+00  9.86101998E-03  1.25037820E-04  1.92000000E+00  1.03904041E-02  1.36219358E-04  1.92000000E+00  1.06348536E-02  1.20672685E-04  1.92000000E+00  1.10906132E-02  1.24619245E-04  1.92000000E+00  1.09340634E-02  1.29861849E-04  1.92000000E+00  1.15231427E-02  1.28638528E-04  1.92000000E+00  1.19350657E-02  1.05372614E-04  1.92000000E+00  1.21529581E-02  1.10815772E-04  1.92000000E+00  1.24353045E-02  1.07780406E-04  1.92000000E+00  1.29708485E-02  8.64329164E-05  1.92000000E+00  1.34197311E-02  9.25887992E-05  1.92000000E+00  1.35231687E-02  7.76318424E-05  1.92000000E+00  1.38822454E-02  7.82148946E-05  1.92000000E+00  1.42383634E-02  8.82389652E-05  1.92000000E+00  1.43526452E-02  7.77315499E-05  1.92000000E+00  1.47800614E-02  6.81760500E-05  1.92000000E+00  1.50445496E-02  7.83797219E-05  1.92000000E+00  1.52665224E-02  7.52928998E-05  1.92000000E+00  1.56040781E-02  7.16544980E-05  1.92000000E+00  1.59811097E-02  7.64666168E-05
  1.96000000E+00  8.10249981E-03  1.54617126E-04  1.96000000E+00  8.09820769E-03  1.44277517E-04  1.96000000E+00  7.62175911E-03  1.15907795E-04  1.96000000E+00  7.50096719E-03  1.18856132E-04  1.96000000E+00  7.29803972E-03  1.39363551E-04  1.96000000E+00  7.13331664E-03  1.12691933E-04  1.96000000E+00  7.21436874E-03  9.70330329E-05  1.96000000E+00  6.77540999E-03  7.22139569E-05  1.96000000E+00  6.81560413E-03  9.04385434E-05  1.96000000E+00  6.53159291E-03  6.34770896E-05  1.96000000E+00  6.24478408E-03  5.07061827E-05  1.96000000E+00  6.25522875E-03  6.31717749E-05  1.96000000E+00  6.19248756E-03  1.18186511E-04  1.96000000E+00  6.15376576E-03  5.38706335E-05  1.96000000E+00  5.97362298E-03  4.88253415E-05  1.96000000E+00  8.71781199E-03  1.46166830E-04  1.96000000E+00  8.79980214E-03  1.28997440E-04  1.96000000E+00  9.36203149E-03  1.42593650E-04  1.96000000E+00  9.59333080E-03  1.34024001E-04  1.96000000E+00  9.44888606E-03  1.41134852E-04  1.96000000E+00  1.00481254E-02  1.18372201E-04  1.96000000E+00  1.03352759E-02  1.24426466E-04  1.96000000E+00  1.08782234E-02  1.35065688E-04  1.96000000E+00  1.11083167E-02  1.19783549E-04  1.96000000E+00  1.15582124E-02  1.25149951E-04  1.96000000E+00  1.13982208E-02  1.27721371E-04  1.96000000E+00  1.19927312E-02  1.27692996E-04  1.96000000E+00  1.24057030E-02  1.05215960E-04  1.96000000E+00  1.26183713E-02  1.10419771E-04  1.96000000E+00  1.28993987E-02  1.06813710E-04  1.96000000E+00  1.34301380E-02  8.44699417E-05  1.96000000E+00  1.38618657E-02  9.12564396E-05  1.96000000E+00  1.39726521E-02  7.62451987E-05  1.96000000E+00  1.43351001E-02  7.86811018E-05  1.96000000E+00  1.46791668E-02  8.77836568E-05  1.96000000E+00  1.47868615E-02  7.72267361E-05  1.96000000E+00  1.52070867E-02  6.71760664E-05  1.96000000E+00  1.54797144E-02  7.69772903E-05  1.96000000E+00  1.56950235E-02  7.47892390E-05  1.96000000E+00  1.60309368E-02  7.02070358E-05  1.96000000E+00  1.64025632E-02  7.44491494E-05
